,index,y
386,2010-01-24,1.30506213159152
387,2010-01-25,1.34422497077103
388,2010-01-26,1.34422497077103
389,2010-01-27,1.34422497077103
390,2010-01-28,1.34422497077103
391,2010-01-29,1.34422497077103
392,2010-01-30,1.34422497077103
393,2010-01-31,1.34422497077103
394,2010-02-01,1.34422497077103
395,2010-02-02,1.34422497077103
396,2010-02-03,1.34422497077103
397,2010-02-04,1.34422497077103
398,2010-02-05,1.34422497077103
399,2010-02-06,1.81864853614541
400,2010-02-07,1.81864853614541
401,2010-02-08,1.81864853614541
402,2010-02-09,1.81864853614541
403,2010-02-10,1.81864853614541
404,2010-02-11,1.81864853614541
405,2010-02-12,1.81864853614541
406,2010-02-13,1.81864853614541
407,2010-02-14,1.81864853614541
408,2010-02-15,2.52773821507236
409,2010-02-16,2.52773821507236
410,2010-02-17,2.52773821507236
411,2010-02-18,2.52773821507236
412,2010-02-19,2.52773821507236
413,2010-02-20,2.52773821507236
414,2010-02-21,2.52773821507236
415,2010-02-22,2.52773821507236
416,2010-02-23,2.52773821507236
417,2010-02-24,3.78117925203377
418,2010-02-25,3.78117925203377
419,2010-02-26,3.78117925203377
420,2010-02-27,3.78117925203377
421,2010-02-28,3.78117925203377
422,2010-03-01,3.78117925203377
423,2010-03-02,3.78117925203377
424,2010-03-03,3.78117925203377
425,2010-03-04,3.78117925203377
426,2010-03-05,3.78117925203377
427,2010-03-06,3.78117925203377
428,2010-03-07,3.78117925203377
429,2010-03-08,4.53108175007069
430,2010-03-09,4.53108175007069
431,2010-03-10,4.53108175007069
432,2010-03-11,4.53108175007069
433,2010-03-12,4.53108175007069
434,2010-03-13,4.53108175007069
435,2010-03-14,4.53108175007069
436,2010-03-15,4.53108175007069
437,2010-03-16,4.53108175007069
438,2010-03-17,4.53108175007069
439,2010-03-18,4.53108175007069
440,2010-03-19,4.53108175007069
441,2010-03-20,4.53108175007069
442,2010-03-21,4.53108175007069
443,2010-03-22,4.53108175007069
444,2010-03-23,4.56516291033707
445,2010-03-24,4.56516291033707
446,2010-03-25,4.56516291033707
447,2010-03-26,4.56516291033707
448,2010-03-27,4.56516291033707
449,2010-03-28,4.56516291033707
450,2010-03-29,4.56516291033707
451,2010-03-30,4.56516291033707
452,2010-03-31,4.56516291033707
453,2010-04-01,6.08547690600079
454,2010-04-02,6.08547690600079
455,2010-04-03,6.08547690600079
456,2010-04-04,6.08547690600079
457,2010-04-05,6.08547690600079
458,2010-04-06,6.08547690600079
459,2010-04-07,6.08547690600079
460,2010-04-08,6.08547690600079
461,2010-04-09,6.08547690600079
462,2010-04-10,6.08547690600079
463,2010-04-11,6.08547690600079
464,2010-04-12,6.08547690600079
465,2010-04-13,7.81979699335383
466,2010-04-14,7.81979699335383
467,2010-04-15,7.81979699335383
468,2010-04-16,7.81979699335383
469,2010-04-17,7.81979699335383
470,2010-04-18,7.81979699335383
471,2010-04-19,7.81979699335383
472,2010-04-20,7.81979699335383
473,2010-04-21,7.81979699335383
474,2010-04-22,11.4643158055141
475,2010-04-23,11.4643158055141
476,2010-04-24,11.4643158055141
477,2010-04-25,11.4643158055141
478,2010-04-26,11.4643158055141
479,2010-04-27,11.4643158055141
480,2010-04-28,11.4643158055141
481,2010-04-29,11.4643158055141
482,2010-04-30,11.4643158055141
483,2010-05-01,11.4643158055141
484,2010-05-02,11.4643158055141
485,2010-05-03,11.4643158055141
486,2010-05-04,12.8491831478238
487,2010-05-05,12.8491831478238
488,2010-05-06,12.8491831478238
489,2010-05-07,12.8491831478238
490,2010-05-08,12.8491831478238
491,2010-05-09,12.8491831478238
492,2010-05-10,12.8491831478238
493,2010-05-11,12.8491831478238
494,2010-05-12,12.8491831478238
495,2010-05-13,12.8491831478238
496,2010-05-14,12.8491831478238
497,2010-05-15,12.8491831478238
498,2010-05-16,12.8491831478238
499,2010-05-17,12.8491831478238
500,2010-05-18,12.8491831478238
501,2010-05-19,12.8491831478238
502,2010-05-20,12.8491831478238
503,2010-05-21,12.8491831478238
504,2010-05-22,11.8462281497047
505,2010-05-23,11.8462281497047
506,2010-05-24,11.8462281497047
507,2010-05-25,11.8462281497047
508,2010-05-26,11.8462281497047
509,2010-05-27,11.8462281497047
510,2010-05-28,11.8462281497047
511,2010-05-29,11.8462281497047
512,2010-05-30,11.8462281497047
513,2010-05-31,16.6190787518574
514,2010-06-01,16.6190787518574
515,2010-06-02,16.6190787518574
516,2010-06-03,16.6190787518574
517,2010-06-04,16.6190787518574
518,2010-06-05,16.6190787518574
519,2010-06-06,16.6190787518574
520,2010-06-07,16.6190787518574
521,2010-06-08,16.6190787518574
522,2010-06-09,16.6190787518574
523,2010-06-10,16.6190787518574
524,2010-06-11,16.6190787518574
525,2010-06-12,17.3814881581401
526,2010-06-13,17.3814881581401
527,2010-06-14,17.3814881581401
528,2010-06-15,17.3814881581401
529,2010-06-16,17.3814881581401
530,2010-06-17,17.3814881581401
531,2010-06-18,17.3814881581401
532,2010-06-19,17.3814881581401
533,2010-06-20,17.3814881581401
534,2010-06-21,17.3814881581401
535,2010-06-22,17.3814881581401
536,2010-06-23,17.3814881581401
537,2010-06-24,19.4047963283822
538,2010-06-25,19.4047963283822
539,2010-06-26,19.4047963283822
540,2010-06-27,19.4047963283822
541,2010-06-28,19.4047963283822
542,2010-06-29,19.4047963283822
543,2010-06-30,19.4047963283822
544,2010-07-01,19.4047963283822
545,2010-07-02,19.4047963283822
546,2010-07-03,19.4047963283822
547,2010-07-04,19.4047963283822
548,2010-07-05,19.4047963283822
549,2010-07-06,23.5012572229032
550,2010-07-07,23.5012572229032
551,2010-07-08,23.5012572229032
552,2010-07-09,23.5012572229032
553,2010-07-10,23.5012572229032
554,2010-07-11,23.5012572229032
555,2010-07-12,23.5012572229032
556,2010-07-13,23.5012572229032
557,2010-07-14,23.5012572229032
558,2010-07-15,45.3858223410126
559,2010-07-16,45.3858223410126
560,2010-07-17,45.3858223410126
561,2010-07-18,181.543289364051
562,2010-07-19,181.543289364051
563,2010-07-20,181.543289364051
564,2010-07-21,181.543289364051
565,2010-07-22,181.543289364051
566,2010-07-23,181.543289364051
567,2010-07-24,181.543289364051
568,2010-07-25,181.543289364051
569,2010-07-26,181.543289364051
570,2010-07-27,244.213223092375
571,2010-07-28,244.213223092375
572,2010-07-29,244.213223092375
573,2010-07-30,244.213223092375
574,2010-07-31,244.213223092375
575,2010-08-01,244.213223092375
576,2010-08-02,244.213223092375
577,2010-08-03,244.213223092375
578,2010-08-04,244.213223092375
579,2010-08-05,244.213223092375
580,2010-08-06,244.213223092375
581,2010-08-07,244.213223092375
582,2010-08-08,352.16120906801
583,2010-08-09,352.16120906801
584,2010-08-10,352.16120906801
585,2010-08-11,352.16120906801
586,2010-08-12,352.16120906801
587,2010-08-13,352.16120906801
588,2010-08-14,352.16120906801
589,2010-08-15,352.16120906801
590,2010-08-16,352.16120906801
591,2010-08-17,511.773534256604
592,2010-08-18,511.773534256604
593,2010-08-19,511.773534256604
594,2010-08-20,511.773534256604
595,2010-08-21,511.773534256604
596,2010-08-22,511.773534256604
597,2010-08-23,511.773534256604
598,2010-08-24,511.773534256604
599,2010-08-25,511.773534256604
600,2010-08-26,511.773534256604
601,2010-08-27,511.773534256604
602,2010-08-28,511.773534256604
603,2010-08-29,623.386959868928
604,2010-08-30,623.386959868928
605,2010-08-31,623.386959868928
606,2010-09-01,623.386959868928
607,2010-09-02,623.386959868928
608,2010-09-03,623.386959868928
609,2010-09-04,623.386959868928
610,2010-09-05,623.386959868928
611,2010-09-06,623.386959868928
612,2010-09-07,623.386959868928
613,2010-09-08,623.386959868928
614,2010-09-09,623.386959868928
615,2010-09-10,712.884864552097
616,2010-09-11,712.884864552097
617,2010-09-12,712.884864552097
618,2010-09-13,712.884864552097
619,2010-09-14,712.884864552097
620,2010-09-15,712.884864552097
621,2010-09-16,712.884864552097
622,2010-09-17,712.884864552097
623,2010-09-18,712.884864552097
624,2010-09-19,917.830741301512
625,2010-09-20,917.830741301512
626,2010-09-21,917.830741301512
627,2010-09-22,917.830741301512
628,2010-09-23,917.830741301512
629,2010-09-24,917.830741301512
630,2010-09-25,917.830741301512
631,2010-09-26,917.830741301512
632,2010-09-27,917.830741301512
633,2010-09-28,917.830741301512
634,2010-09-29,917.830741301512
635,2010-09-30,917.830741301512
636,2010-10-01,1318.67005015359
637,2010-10-02,1318.67005015359
638,2010-10-03,1318.67005015359
639,2010-10-04,1318.67005015359
640,2010-10-05,1318.67005015359
641,2010-10-06,1318.67005015359
642,2010-10-07,1318.67005015359
643,2010-10-08,1318.67005015359
644,2010-10-09,1318.67005015359
645,2010-10-10,1318.67005015359
646,2010-10-11,1318.67005015359
647,2010-10-12,1318.67005015359
648,2010-10-13,1378.02816503733
649,2010-10-14,1378.02816503733
650,2010-10-15,1378.02816503733
651,2010-10-16,1378.02816503733
652,2010-10-17,1378.02816503733
653,2010-10-18,1378.02816503733
654,2010-10-19,1378.02816503733
655,2010-10-20,1378.02816503733
656,2010-10-21,1378.02816503733
657,2010-10-22,2149.02181494673
658,2010-10-23,2149.02181494673
659,2010-10-24,2149.02181494673
660,2010-10-25,2149.02181494673
661,2010-10-26,2149.02181494673
662,2010-10-27,2149.02181494673
663,2010-10-28,2149.02181494673
664,2010-10-29,2149.02181494673
665,2010-10-30,2149.02181494673
666,2010-10-31,3091.7368904118
667,2010-11-01,3091.7368904118
668,2010-11-02,3091.7368904118
669,2010-11-03,3091.7368904118
670,2010-11-04,3091.7368904118
671,2010-11-05,3091.7368904118
672,2010-11-06,3091.7368904118
673,2010-11-07,3091.7368904118
674,2010-11-08,3091.7368904118
675,2010-11-09,4536.35372327504
676,2010-11-10,4536.35372327504
677,2010-11-11,4536.35372327504
678,2010-11-12,4536.35372327504
679,2010-11-13,4536.35372327504
680,2010-11-14,4536.35372327504
681,2010-11-15,4536.35372327504
682,2010-11-16,4536.35372327504
683,2010-11-17,4536.35372327504
684,2010-11-18,4536.35372327504
685,2010-11-19,4536.35372327504
686,2010-11-20,4536.35372327504
687,2010-11-21,6866.89864897274
688,2010-11-22,6866.89864897274
689,2010-11-23,6866.89864897274
690,2010-11-24,6866.89864897274
691,2010-11-25,6866.89864897274
692,2010-11-26,6866.89864897274
693,2010-11-27,6866.89864897274
694,2010-11-28,6866.89864897274
695,2010-11-29,6866.89864897274
696,2010-11-30,8078.19525792509
697,2010-12-01,8078.19525792509
698,2010-12-02,8078.19525792509
699,2010-12-03,8078.19525792509
700,2010-12-04,8078.19525792509
701,2010-12-05,8078.19525792509
702,2010-12-06,8078.19525792509
703,2010-12-07,8078.19525792509
704,2010-12-08,8078.19525792509
705,2010-12-09,8078.19525792509
706,2010-12-10,8078.19525792509
707,2010-12-11,8078.19525792509
708,2010-12-12,12251.9997603745
709,2010-12-13,12251.9997603745
710,2010-12-14,12251.9997603745
711,2010-12-15,12251.9997603745
712,2010-12-16,12251.9997603745
713,2010-12-17,12251.9997603745
714,2010-12-18,12251.9997603745
715,2010-12-19,12251.9997603745
716,2010-12-20,12251.9997603745
717,2010-12-21,12251.9997603745
718,2010-12-22,12251.9997603745
719,2010-12-23,12251.9997603745
720,2010-12-24,14484.1623612254
721,2010-12-25,14484.1623612254
722,2010-12-26,14484.1623612254
723,2010-12-27,14484.1623612254
724,2010-12-28,14484.1623612254
725,2010-12-29,14484.1623612254
726,2010-12-30,14484.1623612254
727,2010-12-31,14484.1623612254
728,2011-01-01,14484.1623612254
729,2011-01-02,14484.1623612254
730,2011-01-03,14484.1623612254
731,2011-01-04,14484.1623612254
732,2011-01-05,16307.420938524
733,2011-01-06,16307.420938524
