,index,y
480,2017-04-25,
481,2017-04-26,
482,2017-04-27,
483,2017-04-28,
484,2017-04-29,
485,2017-04-30,
486,2017-05-01,
487,2017-05-02,
488,2017-05-03,
489,2017-05-04,
490,2017-05-05,
491,2017-05-06,
492,2017-05-07,
493,2017-05-08,
494,2017-05-09,
495,2017-05-10,
496,2017-05-11,
497,2017-05-12,
498,2017-05-13,
499,2017-05-14,
500,2017-05-15,
501,2017-05-16,
502,2017-05-17,
503,2017-05-18,
504,2017-05-19,
505,2017-05-20,
506,2017-05-21,
507,2017-05-22,
508,2017-05-23,
509,2017-05-24,
510,2017-05-25,
511,2017-05-26,
512,2017-05-27,
513,2017-05-28,
514,2017-05-29,
515,2017-05-30,
516,2017-05-31,
517,2017-06-01,
518,2017-06-02,
519,2017-06-03,
520,2017-06-04,
521,2017-06-05,
522,2017-06-06,
523,2017-06-07,
524,2017-06-08,
525,2017-06-09,
526,2017-06-10,
527,2017-06-11,
528,2017-06-12,
529,2017-06-13,
530,2017-06-14,
531,2017-06-15,
532,2017-06-16,
533,2017-06-17,
534,2017-06-18,
535,2017-06-19,
536,2017-06-20,
537,2017-06-21,
538,2017-06-22,
539,2017-06-23,
540,2017-06-24,
541,2017-06-25,
542,2017-06-26,
543,2017-06-27,
544,2017-06-28,
545,2017-06-29,
546,2017-06-30,
547,2017-07-01,
548,2017-07-02,
549,2017-07-03,
550,2017-07-04,
551,2017-07-05,
552,2017-07-06,
553,2017-07-07,
554,2017-07-08,
555,2017-07-09,
556,2017-07-10,
557,2017-07-11,
558,2017-07-12,
559,2017-07-13,
560,2017-07-14,
561,2017-07-15,
562,2017-07-16,
563,2017-07-17,
564,2017-07-18,
565,2017-07-19,
566,2017-07-20,
567,2017-07-21,
568,2017-07-22,
569,2017-07-23,
570,2017-07-24,
571,2017-07-25,
572,2017-07-26,
573,2017-07-27,
574,2017-07-28,
575,2017-07-29,
576,2017-07-30,
577,2017-07-31,
578,2017-08-01,
579,2017-08-02,
580,2017-08-03,
581,2017-08-04,
582,2017-08-05,
583,2017-08-06,
584,2017-08-07,
585,2017-08-08,
586,2017-08-09,
587,2017-08-10,
